Year(Release_Date),Developer,Count(*)
2009,"Red Rocket Games",5
2009,"Redlynx Ltd",2
2009,Related,2
2009,"Related Designs",2
2009,"Relic Entertainment",4
2009,"Replay Studios",2
2009,Reppo,1
2009,"Revolution Software Ltd",2
2009,"Ritual Entertainment",1
2009,"Rocksteady Studios",1
2009,"RTL interactive",1
2009,"Rudolf Kremers & Alex May",2
2009,"Runic Games",2
2009,"Saber Interactive",1
2009,"Sabi Games",2
2009,SaintXi,2
2009,"Sakari Indie",1
2009,"Sandlot Games",16
2009,Sarbakan,1
2009,"Shiny Entertainment",3
2009,"Sigma Team Inc.",14
2009,SimBin,3
2009,"Size Five Games",2
2009,"Sky Fallen",2
2009,"SkyFallen Entertainment",1
2009,"Slam Dunk Studios",2
2009,"Slightly Mad Studios",1
2009,"Smashball Labs LLC",1
2009,Spellbound,1
2009,"Spidermonk Entertainment",1
2009,"SpinTop Games",8
2009,"Sports Interactive",1
2009,"SQUARE ENIX",6
2009,Stormregion,3
2009,Synetic,1
2009,"Tale of Tales",5
2009,"Targem Games",2
2009,Techland,2
2009,"Technetium Games",1
2009,"Telltale Games",11
2009,"Terminal Reality",1
2009,"The Creative Assembly",7
2009,"The Farm 51",3
2009,"Thinking Studios",2
2009,"Three Donkeys LLC",1
2009,"TimeGate Studios",1
2009,"Topware Interactive",1
2009,"Transmission Games",1
2009,"Traveller's Tales",3
2009,"Tripwire Interactive",2
2009,"Triumph Studios",4
2009,TrueThought,1
2009,"Twisted Pixel Games",5
2009,"U.S. Army",1
2009,"Ubisoft  Shanghaï",1
2009,"Ubisoft Bucharest Studio",2
2009,"Ubisoft Montreal",2
2009,"Ubisoft Reflections",1
2009,"Unicorn Games Studio",2
2009,Valve,1
2009,"Vectorpark, Inc.",1
2009,"Virtual Playground",1
2009,"VIS Interactive",1
2009,"Visual Concepts",1
2009,Volition,4
2009,"Volition, Inc.",2
2009,"Wadjet Eye Games",1
2009,"Wanako Games",1
2009,Wargaming.net,6
2009,"White Birds Productions",1
2009,"Wideload Games",2
2009,"Xatrix Entertainment",1
2009,Yullaby,1
2009,Zemnott,1
2009,"Zombie Cow Studios",1
2009,"Zombie Studios",1
2010,.dat,2
2010,"1C Company",10
2010,1C:InoCo,1
2010,"2K Australia",1
2010,"2K China",1
2010,"2K Czech",4
2010,"2K Marin",1
2010,"4 Head Studios",2
2010,"4A Games",2
2010,4sdk,1
