Developer,count(*)
"Brainshape Games",2
"Brainwashing games",2
"Brainy Studio LLC",1
"Bram Ruiter",6
"Brandon Brizzi",3
BrashMonkey,6
"Brave Bunny",1
"Brave Giant LTD",3
Bravewave,1
Brawsome,4
"Bread Vision Studios LLC",1
"Bread Vision Studios LLC.",1
"BreakAway Games",2
Breakfall,3
"Breaking Fourth",1
"Breakout Studio",1
"Brendon Pywell",1
"Bretwalda Games",1
BRHP,1
"Brian Cronin",1
"Brian Cullen",1
"Brian Holmes",1
"Brian Lindenhof",1
"Bright Lanterns",1
"Brightside Games",3
"Brilliant Skies Ltd.",1
"BRINK 3D",1
"Broken Rules",4
"Broken Window Studios",1
"Bromoco Games",1
"Brothers Flint",1
"Browny Application",1
Brucefilm,2
"Brushfire Games",4
"Brutal Studio",1
"Bryan Gale",1
Brytenwalda,1
"BS1 & BSL Team",1
"BSK Games",2
"BTD Team",1
BTNcafe,1
"Bubble Head Games",1
"Buddy Cops, LLC",1
"Buff Studio Co.,Ltd.",1
"Buffalo Vision",2
BUG-Studio,2
BUGBEAR,8
"Bugbear Entertainment",4
"Bugbyte Ltd.",1
Bugendai,1
"Buka Development",3
"Buka Entertainment",2
"Buko Studios",1
Bulbware,2
"Bulkhead Studios Corporation",1
"Bulldog Interactive",1
"Bulwark Studios",2
bumblebee.,2
BumpkinBrothers,2
"Bundle Of Sticks Studios",1
Bunnycopter,1
"Burak Dabak",1
"Burian Media Enterprises",1
"Burnin Ape",1
"Burning Arrow",1
"Burning Dog Media",1
"Burnt Fuse",1
"Burrito Studio",2
"Burut CT",3
"Bury Mis Productions",1
"Butlerstyle Entertainment",1
Butterflyware,1
"Butterscotch Shenanigans",2
"Byte-UP Co., ltd.",1
Byte4Games,1
Bytebin,1
"ByteRockers' Articy GmbH & Co. KG",2
"Byterockers' Games GmbH & Co. KG",3
"Bytes of Learning",1
"ByteTrail Software",1
Byulbram,1
"Byzantine Games",3
C3SK,2
"C63 Industries",2
Cabygon,2
"Cadence Games",1
"Cadenza Interactive",3
"Caged Element Inc.",1
"Caipirinha Games",2
Caj81,1
"Cake Collective Games",1
Cakewalk,31
"Calum Bowen",1
"Calvin Bennett",1
"Calvin Weibel",1
"Calvino Noir Limited",1
Camaquem,1
"Camel 101",2
"Camel101 LLC",1
"Cameron Baxter",1
"Cameron Kunzelman",3
Camouflaj,2
"Campo Santo",2
"Camshaft Software",2
"Can Explode",1
"Candescent Games, Inc",1
"Candlelight Studios",1
"Candygun Games",4
candyrocketstudio,1
"Cannibal Interactive",1
"Cantina Games and Entertainment, Inc.",1
Capcom,88
"CAPCOM Co., Ltd.",25
"Capcom Game Studio Vancouver",1
"Capcom U.S.A., Inc",8
"Capcom U.S.A., Inc.",54
"Capcom Vancouver",10
"Cape Copenhagen",1
"Cape Guy Ltd",1
"Capribyte Studios",1
Capybara,1
"Capybara Games",7
"Caravel Games",2
"Carbine Studios",1
Carbon,1
"Carbon Games",4
"Cardboard Computer",1
"Cardboard Keep",1
"Cardboard Robot Games",1
"Cardboard Sword Limited",1
"Cardboard Utopia",1
Carenado,24
"Carlo D'Apostoli Projects",6
"Carlos Coronado",1
"Carlos Vázquez Ordóñez",1
"Carlotta Tatti",1
"Carlsen Games",1
"Carmine T. Guida",3
"Case in Point Studios, LLC",1
CashcowGames,1
Casiualogic,1
"Castle art by Yuriy Gusev",1
"Castle Pixel, LLC.",1
"CastleAbra Studios",1
"Castro Brothers",1
"Casual Brothers",1
"Casual Labs",2
Casualogic,1
"CAT IN JAR GAMES",1
"Cat Rabbit",2
Cat5Games,1
"Catalyst Games Lab",1
"Cateia Games",14
"Catherine Debard",1
"Cats Who Play",1
Catstudio,1
Cauldron,4
"Causal Bit Games Inc.",1
"CAVE Interactive CO.,LTD.",11
"Cavedog Entertainment",1
"Cavelight Entertainment",1
CAVYHOUSE,3
"CBE Software s.r.o.",4
CCCP,3
CCG,1
CCP,12
"CD Jones",1
"CD PROJEKT RED",20
CDProjekt,1
"Ceiba Software and Arts",1
Celeris,2
"Celestial Games",1
Celianna,3
"Cellar Door Games",1
"Cellbloc Studios",1
"Celsius Game Studios",1
"Cemil Tasdemir",1
"Centauri Production",5
"Ceri Williams",1
"Certain Affinity™",2
"Chad Alan Cuddigan",1
"Chad Close",2
"Chain Studios",1
"Chainsaw Syndicate",1
"Chainsawesome Games",4
"ChAIR Entertainment",1
"Chandler Rounsley",1
"Chaos Concept",1
"Chaos Industries",1
"Chaosoft Games",1
Chaphat,1
Chara-Ani,8
"Charles Duprey",1
"Charlie Evans",1
