Year(Release_Date),Genre,Developer,count(*)
2009,Action,"Zombie Studios",1
2009,Adventure,"4Head Studios",1
2009,Adventure,"Amanita Design",4
2009,Adventure,"Animation Arts",2
2009,Adventure,"Blue Omega Entertainment",1
2009,Adventure,Capcom,4
2009,Adventure,"City Interactive",1
2009,Adventure,"Deck 13",2
2009,Adventure,DICE,1
2009,Adventure,"DnS Development",4
2009,Adventure,Elecorn,2
2009,Adventure,"Erik Svedäng",1
2009,Adventure,"Feral Interactive (Mac)",2
2009,Adventure,"Frictional Games",4
2009,Adventure,Frima,1
2009,Adventure,Frogwares,4
2009,Adventure,Frozenbyte,2
2009,Adventure,GRIN,1
2009,Adventure,"Her Interactive",18
2009,Adventure,"Ice-pick Lodge",1
2009,Adventure,"inXile Entertainment",1
2009,Adventure,"IO Interactive",3
2009,Adventure,KatGames,1
2009,Adventure,LucasArts,9
2009,Adventure,MumboJumbo,1
2009,Adventure,PlayFirst,1
2009,Adventure,"Radical Entertainment",1
2009,Adventure,"Realmforge Studios",1
2009,Adventure,"Revolution Software Ltd",2
2009,Adventure,"Rocksteady Studios",1
2009,Adventure,"Shiny Entertainment",1
2009,Adventure,"Size Five Games",2
2009,Adventure,"Tale of Tales",3
2009,Adventure,"Telltale Games",10
2009,Adventure,"Topware Interactive",1
2009,Adventure,"Traveller's Tales",3
2009,Adventure,"Vectorpark, Inc.",1
2009,Adventure,"VIS Interactive",1
2009,Adventure,"Wadjet Eye Games",1
2009,Adventure,"White Birds Productions",1
2009,Adventure,"Zombie Cow Studios",1
2009,Casual,"Amanita Design",2
2009,Casual,"Artech Studios",1
2009,Casual,"Broken Rules",2
2009,Casual,"Certain Affinity™",2
2009,Casual,"Dekovir Entertainment",1
2009,Casual,"Digital Eel",1
2009,Casual,"Edmund McMillen and Florian Himsl",1
2009,Casual,Elecorn,2
2009,Casual,"Enlight Software Limited",1
2009,Casual,"Fakt Software",1
2009,Casual,"Freeze Tag Inc.",1
2009,Casual,Frima,1
2009,Casual,Gamerizon,2
2009,Casual,"Hemisphere Games",2
2009,Casual,"Her Interactive",1
2009,Casual,Honeyslug,1
2009,Casual,"Infinite Interactive",2
2009,Casual,"inXile Entertainment, inc.",1
2009,Casual,IonFX,1
2009,Casual,iWin,8
2009,Casual,"Joju Games",1
2009,Casual,Kloonigames,2
2009,Casual,"KranX Productions",2
2009,Casual,"Last Day of Work",2
2009,Casual,"Lazy 8 Studios",2
2009,Casual,"Linksolutions Ltd.",1
2009,Casual,LucasArts,2
2009,Casual,Mousechief,1
2009,Casual,MumboJumbo,8
2009,Casual,"Number None",2
2009,Casual,"PopCap Games, Inc.",7
2009,Casual,"Proper Games",2
2009,Casual,"Red Rocket Games",5
2009,Casual,"Sabi Games",2
2009,Casual,"Sandlot Games",13
2009,Casual,"Slam Dunk Studios",1
2009,Casual,"Spidermonk Entertainment",1
2009,Casual,"SpinTop Games",8
2009,Casual,"SQUARE ENIX",2
2009,Casual,"Tale of Tales",1
2009,Casual,"Technetium Games",1
